,Contributors,Coordinates,Created_At,Favorited,Followers_Count,Friends_Count,Geo,Location,Place,Retweet_Count,Retweeted,Screen_Name,Source,Truncated,Tweet,TweetId,UserId
34,,,2018-01-25 16:36:56,0.0,258.0,683.0,,"Bangkok, Thailand",,2710.0,0.0,js_gene_,TweetDeck,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.56566566987944e+17,2311113181.0
35,,,2018-01-25 16:36:39,0.0,252.0,472.0,,,,2710.0,0.0,xixxhi,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565664973163848e+17,145635848.0
36,,,2018-01-25 16:36:11,0.0,141.0,232.0,,,,2710.0,0.0,SpencerMemes,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565663785671885e+17,7.545397802605855e+17
37,,,2018-01-25 16:36:02,0.0,92.0,195.0,,You're my Miracle,,2710.0,0.0,MollaMind,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.56566339681792e+17,370151384.0
38,,,2018-01-25 16:35:58,0.0,639.0,499.0,,"Bah, avengoos™",,2710.0,0.0,lNFINITYBUCKY,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565663241169715e+17,8.985857668587192e+17
39,,,2018-01-25 16:35:53,0.0,13598.0,1817.0,,Please enjoy only on twitter,,2710.0,0.0,onegingek,Twitter Web Client,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565663012326605e+17,393492240.0
40,,,2018-01-25 16:35:45,0.0,314.0,265.0,,Mind Palace,,2710.0,0.0,Ottermidnight,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565662682066575e+17,407391374.0
41,,,2018-01-25 16:35:43,0.0,4.0,50.0,,,,2710.0,0.0,love216mo,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565662620998451e+17,346098001.0
42,,,2018-01-25 16:35:12,0.0,343.0,895.0,,"Lapu-Lapu City, Philippines",,0.0,0.0,BabyKillerSK24,Twitter Web Client,0.0,Downloading 2 movies #BrightMovie and #ThorRagnarok \m/,9.565661318163907e+17,2366652468.0
43,,,2018-01-25 16:35:02,0.0,72.0,1178.0,,"Earth, Sol, Virgo Supercluster",,2710.0,0.0,LynxDemyx,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565660891687076e+17,7.420943054188421e+17
44,,,2018-01-25 16:34:37,0.0,6365.0,3408.0,,On a rainbow. SHARED ACCOUNT,,2710.0,0.0,ItalianLokiArmy,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565659848648663e+17,587251412.0
45,,,2018-01-25 16:34:11,0.0,579.0,246.0,,My soul is in Japan ,,2710.0,0.0,ZicoDiva,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565658741142692e+17,984456433.0
46,,,2018-01-25 16:32:29,0.0,6.0,16.0,,,,2710.0,0.0,jjolie_09,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565654495708324e+17,9.152539387309425e+17
47,,,2018-01-25 16:32:22,0.0,37.0,123.0,,on the moon,,2710.0,0.0,TrashKingDeluxe,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565654189189898e+17,32320315.0
48,,,2018-01-25 16:32:08,0.0,121.0,136.0,,Somewhere Over The Rainbow ?,,2710.0,0.0,phoenixoftheice,TweetDeck,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565653611340554e+17,8.862766312073011e+17
49,,,2018-01-25 16:31:59,0.0,2719.0,2451.0,,"new york, usa",,2710.0,0.0,valerie_klim1,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565653230666015e+17,2316875663.0
50,,,2018-01-25 16:31:36,0.0,539.0,1211.0,,Republic of the Philippines,,2710.0,0.0,jayzhelle,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565652233175163e+17,32264754.0
51,,,2018-01-25 16:31:27,0.0,46.0,209.0,,"Clermont, FL",,2710.0,0.0,Taylorcyp,Twitter Web Client,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565651891508142e+17,2857401011.0
52,,,2018-01-25 16:31:25,0.0,269.0,119.0,,Space ?,,2710.0,0.0,__LOKITHEGOD,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565651795038044e+17,9.324576585561539e+17
53,,,2018-01-25 16:31:23,0.0,290.0,222.0,,Lost in the fandom !,,2710.0,0.0,MarshelleThePie,Twitter Web Client,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565651719416422e+17,7.598677814288835e+17
54,,,2018-01-25 16:31:11,0.0,1200.0,1869.0,,??Neverland??,,770.0,0.0,SuJu_Myprinces,Twitter for Android,0.0,"RT @akira_yoru: Chris, Tom and Taika ;)
Let's imagine tyka as grandmaster for aesthetic purpose

#ThorRagnarok https://t.co/EHkRfXNj0L",9.565651219831357e+17,1338048374.0
55,,,2018-01-25 16:30:53,0.0,452.0,939.0,,Middle Earth ,,2710.0,0.0,mariaxfatimaz,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565650465067418e+17,3323451255.0
56,,,2018-01-25 16:30:17,0.0,694.0,496.0,,San Junipero ,,2710.0,0.0,jasbanate,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565648919339459e+17,159772387.0
57,,,2018-01-25 16:29:53,0.0,133.0,118.0,,"Los Angeles, CA",,2710.0,0.0,ralyndajane,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565647923276431e+17,4048150398.0
58,,,2018-01-25 16:29:48,0.0,70.0,244.0,,,,0.0,0.0,marvelndcheroes,Twitter for Android,1.0,"#thorragnarok #Thanos 
.
.
.
.
Follow us
.
.
.
.
.
#thor #loki #valkyrie #hulk #odinson #hela #mcu #marvel… https://t.co/qXUgdSgtJL",9.565647742879498e+17,9.343193037168312e+17
59,,,2018-01-25 16:29:38,0.0,982.0,671.0,,"England, United Kingdom",,2710.0,0.0,_lordofsparkles,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565647303820493e+17,598224094.0
60,,,2018-01-25 16:27:49,0.0,237.0,199.0,,,,2710.0,0.0,aungsura_,Twitter for iPad,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.56564272468738e+17,2905660544.0
61,,,2018-01-25 16:27:15,0.0,3312.0,2207.0,,Orlando ,,0.0,0.0,PlanetNestor,Twitter for iPhone,0.0,“I have to get off this planet.” #Loki #ThorRagnarok #Thorsday https://t.co/ELHjrtMLrG https://t.co/cdOXz9Sii1,9.565641303239762e+17,16155339.0
62,,,2018-01-25 16:27:07,0.0,463.0,356.0,,Disneyland,,2710.0,0.0,_badxnews,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.56564096144552e+17,156759396.0
63,,,2018-01-25 16:27:03,0.0,456.0,2255.0,,"Creswell, OR",,66.0,0.0,InmanKathrine,Twitter for Android,0.0,RT @TomH_Brasil: Loki: Your Savior is Here!!! #Loki #TomHiddleston #ThorRagnarok ? https://t.co/naFWN9CtoQ,9.56564078234751e+17,306414564.0
